t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_real_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
4460.0,8.555256504239658e-06,0.0,8.549983231674771e-06,-5.857806310434579e-30,8.548875320349569e-06,-8.855852419663603e-31,0.0,4.746264395722967e-10,-3.993608332681372e-30,4.5478720002798e-10
5304.0,1.0174645544643599e-05,0.0,1.017098081481715e-05,-7.85661025326745e-30,1.0169662476797812e-05,-7.03691611114905e-31,0.0,5.646730280999227e-10,-3.549874073494553e-30,5.410771169004657e-10
5360.0,1.028219322380319e-05,0.0,1.0278569230063322e-05,-7.679473305849809e-30,1.0277236907519333e-05,-7.519464169187923e-31,0.0,5.706508685702587e-10,1.3312027775604574e-30,5.468064888415927e-10
6188.0,1.1874670158580712e-05,0.0,1.1869837062877423e-05,-9.471745332700114e-30,1.1868296720665381e-05,-1.5839367431847994e-31,0.0,6.590681727393345e-10,3.993608332681372e-30,6.315760898887932e-10
6260.0,1.2013366674086881e-05,0.0,1.2008251973394604e-05,-9.345951256478427e-30,1.2006693595555325e-05,-2.0787321012434385e-31,0.0,6.667585275512052e-10,-7.987216665362745e-30,6.389518598565968e-10
7073.0,1.3581058639479155e-05,0.0,1.3571674761878675e-05,-9.174869593500057e-30,1.3569912215529634e-05,-2.852093158492276e-31,0.0,7.536285323960011e-10,-7.543482406175925e-30,7.222660947080312e-10
7160.0,1.374880670578101e-05,0.0,1.3739031231090734e-05,-9.327263034817912e-30,1.3737246950776218e-05,-3.0680427107512087e-31,0.0,7.629323340571251e-10,-1.3312027775604574e-30,7.311840870102659e-10
7957.0,1.528387252313839e-05,0.0,1.5272647990939642e-05,-7.417501743969183e-30,1.5270664435592904e-05,2.4565907085835976e-31,0.0,8.482681554964527e-10,-5.32481111024183e-30,8.129026372246504e-10
8060.0,1.5482020699710865e-05,0.0,1.5470907142271676e-05,-8.53681353239885e-30,1.5468897911852542e-05,2.5863596838309387e-31,0.0,8.593099726914601e-10,-5.768545369428649e-30,8.234672406143069e-10
8841.0,1.6983311033231824e-05,0.0,1.6974680418091848e-05,-9.665388719830449e-30,1.6972476387354707e-05,-3.53007399898264e-31,0.0,9.43086540138326e-10,4.437342591868191e-31,9.036193715209164e-10
8940.0,1.717358263948342e-05,0.0,1.7165358663653792e-05,-9.293847170429345e-30,1.7163129970988082e-05,-3.6039537038956564e-31,0.0,9.537079344654771e-10,0.0,9.137859250176842e-10
