nu_t_over_M,FastEMRIWaveforms_R_h20_over_nu_M,arXiv_2407_19017_Fig3_R_h20_over_nu_M
-1970590.6797286046,0.00919049669741969,nan
-1965624.2787081092,0.009196205831567963,nan
-1960670.3943098166,0.009201918448135836,nan
-1955728.9949885977,0.009207634542979118,nan
-1950800.0492787827,0.009213354211984581,nan
-1945883.5257940462,0.009219077495279754,nan
-1940979.393227151,0.009224804360261388,nan
-1936087.6203497602,0.00923053477751018,nan
-1931208.1760122564,0.009236268722261114,nan
-1926341.0291434857,0.00924200617435729,nan
-1921486.1487506416,0.009247747118203836,nan
-1916643.503919015,0.009253491542722304,nan
-1911813.0638118095,0.009259239441305262,nan
-1906994.7976699586,0.00926499081177117,nan
-1902188.6748118768,0.009270745656319624,nan
-1897394.6646333437,0.009276503981486725,nan
-1892612.7366072577,0.009282265798100885,nan
-1887842.8602834516,0.009288031121238837,nan
-1883085.0052885152,0.00929379997018193,nan
-1878339.1413255457,0.009299572368372762,nan
-1873605.238174039,0.00930534834337196,nan
-1868883.2656896373,0.009311127925414685,nan
-1864173.1938039584,0.009316911124314549,nan
-1859474.9925244113,0.00932269793128068,nan
-1854788.6319339543,0.009328488337646705,nan
-1850114.0821909853,0.009334282335479492,nan
-1845451.3135290968,0.0093400799175717,nan
-1840800.2962569,0.009345881077434278,nan
-1836161.0007578507,0.009351685809289021,nan
-1831533.397490005,0.009357494108061252,nan
-1826917.4569859132,0.009363305969372389,nan
-1822313.1498523767,0.00936912138953273,nan
-1817720.4467702769,0.009374940365534183,nan
-1813139.3184943853,0.009380762895043084,nan
-1808569.735853194,0.009386588976393032,nan
-1804011.6697486746,0.009392418608577851,nan
-1799465.091156172,0.009398251791244441,nan
-1794929.971124169,0.009404088524685831,nan
-1790406.2807741126,0.009409928809834205,nan
-1785893.9913002446,0.009415772648253965,nan
-1781393.0739693665,0.009421620042134931,nan
-1776903.5001207332,0.009427470994285403,nan
-1772425.241165819,0.009433325508125461,nan
-1767958.2685881492,0.009439183587680196,nan
-1763502.5539431307,0.00944504523757301,nan
-1759058.0688578198,0.009450910463019033,nan
-1754624.7850308178,0.009456779269818404,nan
-1750202.6742320415,0.009462651664340016,nan
-1745791.7083025535,0.009468527652329592,nan
-1741391.8591543965,0.009474407237474444,nan
-1737003.0987703665,0.009480290423099913,nan
-1732625.399203906,0.009486177212408147,nan
-1728258.7325788783,0.009492067608478798,nan
-1723903.0710894011,0.009497961614269667,nan
-1719558.3869996835,0.009503859232617314,nan
-1715224.6526437984,0.00950976046623778,nan
-1710901.8404255814,0.009515665317727117,nan
-1706589.9228184044,0.009521573789562091,nan
-1702288.8723650142,0.009527485884100809,nan
-1697998.6616773696,0.00953340160358332,nan
-1693719.2634364176,0.009539320950132326,nan
-1689450.650391992,0.009545243925753694,nan
-1685192.795362593,0.009551170532337169,nan
-1680945.671235225,0.009557100771656963,nan
-1676709.2509652234,0.00956303464537238,nan
-1672483.5075760966,0.009568972155028428,nan
-1668268.4141593038,0.009574913302056492,nan
-1664063.9438741568,0.009580858087774853,nan
-1659870.0699476013,0.009586806513389372,nan
-1655686.7656740574,0.009592758579994077,nan
-1651514.0044152627,0.009598714288571758,nan
-1647351.7596000547,0.00960467363999464,nan
-1643200.0047242716,0.00961063663502489,nan
-1639058.7133505384,0.009616603274315282,nan
-1634927.8591081088,0.009622573558430783,nan
-1630807.4156927087,0.009628547489223531,nan
-1626697.3568663234,0.009634525070660434,nan
-1622597.6564570994,0.009640506306746,nan
-1618508.2883591314,0.00964649120131638,nan
-1614429.2265323082,0.00965247975804042,nan
-1610360.445002157,0.009658471980420712,nan
-1606301.9178596342,0.009664467871794712,nan
-1602253.6192610273,0.009670467435335712,nan
-1598215.5234277453,0.009676470674053946,nan
-1594187.6046461666,0.009682477590797618,nan
-1590169.8372674847,0.009688488188253935,nan
-1586162.195707502,0.009694502468950207,nan
-1582164.6544465334,0.009700520435254777,nan
-1578177.1880291987,0.009706542089378118,nan
-1574199.7710642708,0.009712567433373844,nan
-1570232.378224528,0.009718596469139697,nan
-1566274.9842465452,0.009724629198418646,nan
-1562327.563930602,0.009730665622799787,nan
-1558390.0921404753,0.009736705743719406,nan
-1554462.5438032935,0.009742749562461982,nan
-1550544.893909374,0.009748797080161166,nan
-1546637.1175120762,0.009754848297800768,nan
-1542739.1897275988,0.009760903216215802,nan
-1538851.0857348877,0.009766961836093364,nan
-1534972.7807754322,0.009773024157973693,nan
-1531104.2501531204,0.009779090182251114,nan
-1527245.4692340912,0.009785159909180864,nan
-1523396.4134465351,0.009791233340103662,nan
-1519557.0582806026,0.009797310478950196,nan
-1515727.3792882035,0.009803391329851118,nan
-1511907.352082865,0.009809475896763507,nan
-1508096.9523395835,0.009815564183471974,nan
-1504296.1557946303,0.009821656193589825,nan
-1500504.9382454578,0.009827751930560057,nan
-1496723.2755505056,0.009833851397656537,nan
-1492951.1436290564,0.009839954597985054,nan
-1489188.5184610926,0.009846061534484404,nan
-1485435.3760871019,0.009852172209927528,nan
-1481691.692607988,0.009858286626922489,nan
-1477957.444184875,0.009864404787913615,nan
-1474232.6070389694,0.009870526695182534,nan
-1470517.157451414,0.009876652350849236,nan
-1466811.0717631006,0.009882781756873184,nan
-1463114.3263745774,0.009888914915054267,nan
-1459426.8977458598,0.009895051827033912,nan
-1455748.762396291,0.009901192494296118,nan
-1452079.8969043994,0.009907336918168462,nan
-1448420.2779077133,0.009913485099823214,nan
-1444769.8821026704,0.009919637040278248,nan
-1441128.6862444282,0.009925792740398143,nan
-1437496.6671467288,0.009931952200895187,nan
-1433873.801681749,0.009938115422330375,nan
-1430260.0667799632,0.009944282405114418,nan
-1426655.4394299581,0.009950453149508806,nan
-1423059.8966783439,0.009956627656203393,nan
-1419473.4156295708,0.009962805928684954,nan
-1415895.9734457904,0.009968987971210574,nan
-1412327.5473467219,0.009975173787860876,nan
-1408768.1146094678,0.009981363382540739,nan
-1405217.6525684264,0.009987556758980332,nan
-1401676.1386151114,0.009993753920736289,nan
-1398143.5501980132,0.009999954871192828,nan
-1394619.8648224706,0.01000615961356283,nan
-1391105.060050482,0.01001236815088901,nan
-1387599.1135006282,0.010018580486044936,nan
-1384102.0028478848,0.010024796621736169,nan
-1380613.7058234937,0.010031016560501345,nan
-1377134.2002148284,0.010037240304713261,nan
-1373663.4638652152,0.010043467856579993,nan
-1370201.4746738512,0.010049699218145896,nan
-1366748.2105956222,0.010055934391292732,nan
-1363303.649640974,0.010062173377740721,nan
-1359867.7698757811,0.010068416179049583,nan
-1356440.5494211698,0.010074662796619673,nan
-1353021.9664534344,0.010080913231692915,nan
-1349611.9992038612,0.010087167485353933,nan
-1346210.6259586008,0.010093425558531065,nan
-1342817.8250585357,0.010099687451997389,nan
-1339433.5748991084,0.010105953166371827,nan
-1336057.8539302377,0.010112222702120057,nan
-1332690.640656145,0.010118496059555629,nan
-1329331.9136352276,0.010124773238921327,nan
-1325981.6514799194,0.01013105424241798,nan
-1322639.832856568,0.01013733907434828,nan
-1319306.4364852577,0.010143627738947666,nan
-1315981.4411397318,0.01014992024027226,nan
-1312664.8256472216,0.010156216582200077,nan
-1309356.568888317,0.010162516768432153,nan
-1306056.6497968452,0.010168820802493662,nan
-1302765.0473596975,0.010175128687735128,nan
-1299481.740616751,0.01018144042733343,nan
-1296206.708660699,0.010187756024293011,nan
-1292939.930636926,0.010194075481446966,nan
-1289681.385743386,0.010200398801458134,nan
-1286431.053230431,0.010206725986820285,nan
-1283188.9124007346,0.01021305703985911,nan
-1279954.9426091255,0.01021939196273339,nan
