t_over_M,linear_h20_real_over_nu_M_over_R,linear_h20_imag_over_nu_M_over_R,delta_hD20_real_over_nu_M_over_R,delta_hD20_imag_over_nu_M_over_R,delta_hS20_real_over_nu_M_over_R,delta_hS20_imag_over_nu_M_over_R,nonlinear_null_total_h20_real_over_nu_M_over_R,nonlinear_null_total_h20_imag_over_nu_M_over_R,total_h20_real_over_nu_M_over_R,total_h20_imag_over_nu_M_over_R,linear_h30_real_over_nu_M_over_R,linear_h30_imag_over_nu_M_over_R,delta_hD30_real_over_nu_M_over_R,delta_hD30_imag_over_nu_M_over_R,delta_hS30_real_over_nu_M_over_R,delta_hS30_imag_over_nu_M_over_R,nonlinear_null_total_h30_real_over_nu_M_over_R,nonlinear_null_total_h30_imag_over_nu_M_over_R,total_h30_real_over_nu_M_over_R,total_h30_imag_over_nu_M_over_R
-1995.0,-0.01211946693109411,-4.369127535221e-05,-6.064502112813865e-16,-2.0550808722058187e-36,8.919366758446168e-33,5.687354605959263e-16,-6.064502112813865e-16,5.687354605959263e-16,-0.012119466931094718,-4.369127535164126e-05,0.0005963721807072383,2.747182122465972e-09,2.6490790928493738e-17,5.4969477758293516e-36,1.5985218538414058e-32,-7.364853144538433e-16,2.6490790928493753e-17,-7.364853144538433e-16,0.0005963721807072648,2.7471813859806577e-09
-1994.5,-0.012122327913757011,-4.370575428536659e-05,-6.665992362963267e-16,-2.2805701722608984e-35,8.238974227693045e-33,-1.5919336441452458e-16,-6.665992362963267e-16,-1.5919336441452458e-16,-0.012122327913757678,-4.3705754285525786e-05,0.0005965136388157337,8.128152029478891e-09,2.9256078978323343e-17,2.800283801427168e-36,1.7288379775984238e-32,-8.26511972054206e-16,2.925607897832336e-17,-8.26511972054206e-16,0.000596513638815763,8.128151202966918e-09
-1994.0,-0.012125194043070265,-4.371768748951451e-05,-7.269530637441187e-16,-2.740001224346835e-35,4.9220606402715714e-33,-9.860170137068418e-16,-7.269530637441187e-16,-9.860170137068418e-16,-0.012125194043070992,-4.3717687490500525e-05,0.0005966579258712887,1.4066237906385209e-08,3.2079022939987853e-17,-4.746081951332002e-37,3.244313732237852e-32,-8.633973983313855e-16,3.2079022939987884e-17,-8.633973983313855e-16,0.0005966579258713208,1.406623704298781e-08
-1993.5,-0.012128067192184509,-4.3726785237251965e-05,-7.875573329336609e-16,-1.636485415788895e-35,-2.6605566623743033e-33,-1.841254026391569e-15,-7.875573329336609e-16,-1.841254026391569e-15,-0.012128067192185297,-4.372678523909322e-05,0.0005968047439892849,1.996921401105139e-08,3.4958654160484204e-17,-3.3178798249699394e-37,1.3833415530149088e-32,-8.282181690026892e-16,3.4958654160484217e-17,-8.282181690026892e-16,0.0005968047439893198,1.9969213182833223e-08
-1993.0,-0.012130948416306762,-4.373299675796902e-05,-8.484317643460891e-16,-1.306007477508261e-35,1.122894194775534e-33,-2.643918158913687e-15,-8.484317643460891e-16,-2.643918158913687e-15,-0.01213094841630761,-4.373299676061293e-05,0.0005969535097664272,2.5153071063325778e-08,3.78873115371827e-17,-1.3919498805827035e-37,5.184356891257558e-32,-7.1184645339218765e-16,3.788731153718275e-17,-7.1184645339218765e-16,0.000596953509766465,2.5153070351479325e-08
-1992.5,-0.012133837822645986,-4.3736558392018336e-05,-9.09568988051929e-16,-6.423601015200732e-36,4.149608658176739e-34,-3.308781586505662e-15,-9.09568988051929e-16,-3.308781586505662e-15,-0.012133837822646895,-4.373655839532712e-05,0.0005971033972192093,2.8936633314372105e-08,4.085042125868525e-17,-4.029394800579162e-36,-5.61795209225215e-33,-5.187230229686684e-16,4.0850421258685246e-17,-5.187230229686684e-16,0.0005971033972192502,2.893663279564908e-08
-1992.0,-0.01213673455062733,-4.373801899290857e-05,-9.709356010070576e-16,3.147216301131608e-36,-3.7649619296837196e-33,-3.753458719217336e-15,-9.709356010070576e-16,-3.753458719217336e-15,-0.012136734550628301,-4.373801899666203e-05,0.0005972534117428777,3.074785715216676e-08,4.3827476931423356e-17,-5.892572154542101e-36,4.4554617407849866e-32,-2.679694941402472e-16,4.38274769314234e-17,-2.679694941402472e-16,0.0005972534117429215,3.0747856884197264e-08
-1991.5,-0.012139636865186147,-4.373823551470039e-05,-1.032475310225023e-15,2.828084077375691e-36,5.578417565318741e-33,-3.9060551117515445e-15,-1.032475310225023e-15,-3.9060551117515445e-15,-0.01213963686518718,-4.373823551860644e-05,0.0005974024884574567,3.022351579109236e-08,4.6794252289316135e-17,-5.640000736347021e-36,1.954402892685057e-32,8.691623027649187e-18,4.6794252289316154e-17,8.691623027649187e-18,0.0005974024884575035,3.022351579978398e-08
-1991.0,-0.012142542353397895,-4.3738333860133746e-05,-1.0941139411062161e-15,1.3472232419916401e-36,3.582537845351361e-33,-3.712988302754337e-15,-1.0941139411062161e-15,-3.712988302754337e-15,-0.01214254235339899,-4.373833386384673e-05,0.0005975496047177179,2.728349233734398e-08,4.9725956811406234e-17,-5.0286308264617526e-36,7.826362996407523e-33,2.7196434517002077e-16,4.972595681140624e-17,2.7196434517002077e-16,0.0005975496047177677,2.7283492609308325e-08
-1990.5,-0.01214544820288525,-4.373963337606264e-05,-1.1557660155684508e-15,3.517656081633748e-36,4.5491235658404266e-33,-3.146397272524722e-15,-1.1557660155684508e-15,-3.146397272524722e-15,-0.012145448202886405,-4.3739633379209035e-05,0.0005976938938715648,2.2164182531089933e-08,5.260076190894326e-17,-7.718368788148891e-36,1.6815679530433833e-32,4.819493774672362e-16,5.260076190894328e-17,4.819493774672362e-16,0.0005976938938716174,2.2164183013039312e-08
