quantity,supplemented_real,supplemented_imag,truncated_real,truncated_imag,lo_full_real,lo_full_imag,relerr_supplemented,relerr_truncated
h30,-6.902532920683853e-31,4.611065010568697e-08,-6.902532920683853e-31,4.611065010568697e-08,0.0,4.652716816009566e-08,0.008952147119194674,0.008952147119194674
"(3, 1)",8.6412274534503e-10,-1.8937251140892686e-11,8.525272292489702e-10,-1.8707241846241293e-11,8.750382667660387e-10,-1.643346816965094e-11,0.012796037790145915,0.02585211596436243
"(3, 3)",-1.0496261026344605e-10,6.322795194425305e-12,-1.1158098233428403e-10,6.671239759772472e-12,-1.1307256756442878e-10,6.376603283514327e-12,0.0716112708509665,0.013424962690592915
"(5, 1)",4.8751312674308135e-12,-1.0815319473720621e-13,4.875336328702788e-12,-1.0625270842934137e-13,4.994906342643193e-12,-9.38057654273552e-14,0.024146611043588364,0.024063498617495935
"(5, 3)",-1.4506322312027832e-12,8.928027042883246e-14,-1.6792144950160286e-12,1.0088200591780418e-13,-1.7051261293223239e-12,9.61587156747583e-14,0.14906989412867624,0.015422217191860738
"(5, 5)",1.2548155667406143e-11,-1.2226495882296983e-12,1.3051439776239675e-11,-1.2713789032237672e-12,1.3412136940225719e-11,-1.2629841691828284e-12,0.06420399261819308,0.02678214008172096
"(7, 1)",-3.994747883106934e-15,6.002113068620804e-17,-2.0396367468698792e-16,3.822518428729521e-18,-1.9880856979101527e-16,3.733681631534879e-18,19.09217147986561,0.025929271067882287
"(7, 3)",9.714333405627437e-15,-5.772887105646419e-16,9.170974453817913e-15,-5.470126495560875e-16,9.28424463105195e-15,-5.235747809970163e-16,0.04661040458165376,0.01243893892149406
