t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
8940.0,2.0590554944925887e-06,2.0587219792253367e-06,0.00111974523803278,0.0011195607145923772,6.529299541650691e-09,6.527312460757161e-09
9725.0,2.2404756986224906e-06,2.2401128784248195e-06,0.0012183024234242983,0.0012181016653780013,3.245179172951818e-09,3.244205848963885e-09
9840.0,2.2670616096684473e-06,2.2666945028927698e-06,0.001232743932521009,0.0012325407988164464,2.5727106747128915e-09,2.571828383074289e-09
10609.0,2.4448959690561276e-06,2.4445001136510337e-06,0.0013293347202612065,0.0013291156738373963,2.274596506969621e-09,2.2741400477000477e-09
10740.0,2.4751998698701556e-06,2.4747991152398233e-06,0.001345792713350763,0.0013455709566946898,3.0541039862041387e-09,3.053314916065205e-09
11493.0,2.6494439630469247e-06,2.6490148868296806e-06,0.0014404154114771312,0.001440178022178067,6.372098871577673e-09,6.370501055495703e-09
11640.0,2.6834705595649213e-06,2.683035939418616e-06,0.0014588916699975714,0.0014586512242235757,6.704227699647978e-09,6.702267069773718e-09
12377.0,2.8541198378191903e-06,2.853657301332316e-06,0.0015515445568880565,0.0015512887398994037,6.477119601066547e-09,6.475266740951762e-09
12520.0,2.8872411787017695e-06,2.8867732253092854e-06,0.0015695258815016603,0.0015692670808649712,6.07337419660249e-09,6.071482796230784e-09
13261.0,3.058923498811666e-06,3.058427521919549e-06,0.001662722136687732,0.0016624478811598827,2.5196514939711795e-09,2.5187652059238847e-09
13420.0,3.095773904774446e-06,3.095271941946997e-06,0.0016827241446931186,0.0016824465804025897,1.5396958132387272e-09,1.539072394648998e-09
14146.0,3.2640867727410845e-06,3.2635575971062296e-06,0.0017740739716515601,0.0017737813359088046,3.0273884081851703e-09,3.026758807507084e-09
14320.0,3.304439025485481e-06,3.3039033574351878e-06,0.0017959725823765943,0.0017956763451870603,3.996678778117571e-09,3.995640525942201e-09
15030.0,3.4691462821402923e-06,3.4685840712316005e-06,0.00188534848666201,0.0018850375390141586,6.671417532318489e-09,6.669774321271488e-09
15220.0,3.5132369079484404e-06,3.512667583564762e-06,0.001909271295454625,0.0019089564090284852,6.941262487166416e-09,6.939222511022962e-09
15914.0,3.674334241350473e-06,3.6737387654935085e-06,0.001996671623966922,0.0019963422938240943,6.129031697778702e-09,6.127325044809616e-09
16120.0,3.7221680168887368e-06,3.721564744729808e-06,0.0020226204363058193,0.0020222868077528163,5.379156630175839e-09,5.377420559159266e-09
16798.0,3.879650884383054e-06,3.879021842828871e-06,0.0021080434701143055,0.00210769565393597,1.7367983277805343e-09,1.7360988352407434e-09
17000.0,3.926585184588676e-06,3.925948459513758e-06,0.0021334995271305134,0.0021331474815586126,4.5089526286261763e-10,4.5054296130194804e-10
17682.0,4.085096137732188e-06,4.084433490692113e-06,0.002219464000785225,0.002219097680766343,3.750203209869736e-09,3.749337369850667e-09
17900.0,4.135779991813498e-06,4.135109083130654e-06,0.0022469484864608294,0.002246577611753056,4.857236391646896e-09,4.855958366608678e-09
18566.0,4.2906699332520435e-06,4.2899738363513696e-06,0.002330933186195411,0.0023305484125672286,6.882903104913672e-09,6.881151317074944e-09
18800.0,4.345108050789825e-06,4.344403128430294e-06,0.0023604478818955326,0.002360058232837107,7.009074690748547e-09,7.006989135142291e-09
19450.0,4.496372441149635e-06,4.495642979175662e-06,0.0024424510855283075,0.002442047879471342,5.689904623863431e-09,5.688314255865593e-09
19700.0,4.554569609850659e-06,4.553830714315531e-06,0.0024739978016984445,0.00247358938107847,4.603135781771139e-09,4.601581362488597e-09
20334.0,4.702203967712888e-06,4.701441088323215e-06,0.002554017805828341,0.002553596134324736,9.179434346158754e-10,9.174454439630705e-10
20600.0,4.7641649808348014e-06,4.763392034848976e-06,0.002587598351364152,0.0025871711181183715,8.009238600898854e-10,8.009439294080396e-10
21219.0,4.908397786487119e-06,4.907601371333114e-06,0.0026657596979018693,0.0026653195073240835,4.4411559782061044e-09,4.4400805351458045e-09
21480.0,4.9692322384686515e-06,4.968425920428743e-06,0.0026987234447172306,0.0026982777894653076,5.608882247752641e-09,5.607379988134122e-09
22103.0,5.114488054516649e-06,5.113658058773242e-06,0.0027774242663835256,0.002776965556658212,7.000649000536798e-09,6.9987421044890314e-09
22380.0,5.179092752345174e-06,5.178252213236377e-06,0.002812424251200053,0.002811959733573271,6.897271914617179e-09,6.895172111532539e-09
22987.0,5.320707846845521e-06,5.319844131889972e-06,0.0028891377923451486,0.002888660524881476,5.153719216246205e-09,5.152192861458931e-09
23280.0,5.389087572346414e-06,5.388212659934481e-06,0.0029261758214572924,0.0029256923967828025,3.6936461123682886e-09,3.6923018834217284e-09
23871.0,5.52705727043957e-06,5.526159748838014e-06,0.00300090031942503,0.0030004044636267,8.835814873810728e-11,7.5378034914175e-11
