t_minus_t0_M,qnm_delta_hD20_real_over_abs_A220_squared_M_over_R,qnm_delta_hD20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS20_real_over_abs_A220_squared_M_over_R,qnm_delta_hS20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hD30_real_over_abs_A220_squared_M_over_R,qnm_delta_hD30_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS30_real_over_abs_A220_squared_M_over_R,qnm_delta_hS30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD20_real_over_abs_A220_squared_M_over_R,analytic_delta_hD20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS20_real_over_abs_A220_squared_M_over_R,analytic_delta_hS20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD30_real_over_abs_A220_squared_M_over_R,analytic_delta_hD30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS30_real_over_abs_A220_squared_M_over_R,analytic_delta_hS30_imag_over_abs_A220_squared_M_over_R
0.5078125,0.006281744067203182,1.8695804871646163e-20,3.292994906936189e-20,-0.005254019977911263,0.0010970875119409682,4.2058541302695865e-21,-3.1675132226413644e-20,-0.000906830168990411,0.006281723211567665,1.6871717006743163e-19,-2.9286883004975464e-22,-0.005254019977911306,0.0010970838695676035,9.834746431331535e-23,-2.0180474432683778e-21,-0.0009068301689904165
0.546875,0.006743941022310608,1.1644958335380173e-20,3.0160075574417776e-20,-0.005640599247917266,0.001177808805594573,4.11675590816254e-21,-5.4238321845625415e-21,-0.0009735527445081303,0.0067439186321631575,1.8113100951158266e-19,-3.1441747642036975e-22,-0.005640599247917342,0.0011778048952233622,1.0558365510075519e-22,-2.1665309493715222e-21,-0.000973552744508133
0.5859375,0.00720322980425037,2.6025398394462933e-22,-2.9430257672834534e-21,-0.006024746136126432,0.0012580221956420016,2.8239582360238334e-21,-5.015470009922366e-20,-0.0010398554972605647,0.007203205889246234,1.9346674027418516e-19,-3.358305373127984e-22,-0.006024746136126432,0.0012580180189592047,1.127743153072347e-22,-2.31408018764032e-21,-0.0010398554972605647
0.625,0.007659628711436334,-3.649912101239208e-21,-2.1053860950806818e-21,-0.0064064759472422725,0.00133773087784563,1.757826572760102e-21,-3.0327236339335076e-20,-0.001105741068799736,0.00765960328117001,2.0572485382012078e-19,-3.5710886583964826e-22,-0.006406475947242349,0.0013377264365268967,1.1991973141411728e-22,-2.4607010365484833e-21,-0.0011057410687997388
0.6640625,0.008113155927147564,-1.3146936832620711e-20,1.2959821639183153e-20,-0.0067858038896706,0.0014169380278598897,2.3530104053932146e-21,-3.183085355112112e-20,-0.0011712120840568518,0.00811312899115318,2.1790583852194236e-19,-3.7825330974568736e-22,-0.006785803889670633,0.0014169333235703263,1.2702018810020701e-22,-2.6063993375819633e-21,-0.001171212084056856
0.703125,0.008563829520252754,-2.291149216723544e-20,3.0328591820727844e-20,-0.007162745076124569,0.0014956468013577894,3.16370107818215e-21,3.952737482051063e-21,-0.001236271151446891,0.00856380108800445,2.3001017967933103e-19,-3.992647114416183e-22,-0.007162745076124602,0.001495641835752026,1.3407596825309065e-22,-2.7511808954717388e-21,-0.0012362711514468869
0.7421875,0.009011667445930108,-1.8067575404060524e-20,-1.3604105983592136e-20,-0.007537314524227349,0.0015738603341566386,3.702055862102492e-21,-6.4997372942601694e-21,-0.001300920862972486,0.009011637526842408,2.420383595384306e-19,-4.2014390803764096e-22,-0.007537314524227381,0.001573855108878893,1.4108735298040764e-22,-2.8950514784250125e-21,-0.0013009208629724833
0.78125,0.009456687546382684,-2.0014762281738115e-20,-2.266267903049782e-20,-0.007909527157110201,0.0016515817423429814,4.0482334976733275e-21,-1.7432243936541408e-20,-0.0013651637943272474,0.009456656149810878,2.5399085731106135e-19,-4.408917313768049e-22,-0.007909527157110234,0.0016515762590271264,1.480546216210503e-22,-3.038016818355073e-21,-0.00136516379432725
0.8203125,0.009898907551549242,-4.145176254929973e-20,3.3387817901399565e-20,-0.008279397804007074,0.0017288141223967435,5.337105800638453e-21,-2.7072364241866078e-21,-0.0014290025049983597,0.009898874686789759,2.658681491938116e-19,-4.615090080681471e-22,-0.008279397804007117,0.0017288083826663724,1.549780517562923e-22,-3.1800826111096364e-21,-0.001429002504998357
0.859375,0.010338345079810622,-4.6225147930907444e-20,-1.2187297733042627e-20,-0.008646941200845483,0.0018055605513145985,7.149794012210695e-21,-3.496336821963413e-20,-0.001492439538368531,0.010338310756101386,2.7767070838700967e-19,-4.819965595196284e-22,-0.008646941200845505,0.0018055545567830867,1.6185791922084802e-22,-3.3212545166977732e-21,-0.0014924395383685203
0.8984375,0.010775017638691669,-3.201048058268472e-20,7.78601126120468e-21,-0.009012171990833364,0.0018818240867325574,6.6493557347970204e-21,-7.24989097309662e-22,-0.0015554774218173232,0.010774981865212497,2.8939900511357736e-19,-5.023552019708589e-22,-0.009012171990833451,0.0018818178390031322,1.6869449811386222e-22,-3.461538159515414e-21,-0.0015554774218173258
