nu_t_over_M,FastEMRIWaveforms_Re_h2_minus2_over_nu_M,FastEMRIWaveforms_Im_h2_minus2_over_nu_M,minus_two_phi_phi,FastEMRIWaveforms_R_h20_over_nu_M
-60040.45014240186,-0.01997084580436721,-0.143779894474854,-558860579.4448007,0.021503148063585255
-54752.40189538151,-0.06699641374594731,-0.13240631218693086,-562816039.0423067,0.021981953939479708
-49889.88586126168,0.07520143996476147,-0.13177031063702724,-566579749.7079936,0.02247493972803729
-45422.458709711296,0.1001152642911445,-0.11852213365640289,-570158922.4169363,0.022982539952031256
-41319.41145266556,-0.12656071439177768,0.09571678717169187,-573562389.0293616,0.023505484077010308
-37553.76827433129,0.12022514556480464,0.10906162877205268,-576797348.0573634,0.02404435210911347
-34101.70675344078,0.1527789911087006,0.065115996351307,-579869530.0270253,0.024599519433260508
-30939.004709473655,0.0895799462575176,0.14442278429844443,-582786216.6732097,0.025171675296563056
-28044.142231504582,0.16913293208211014,0.040615875612616974,-585553468.9305182,0.025761346124079192
-25395.640585587753,0.16448356066646008,-0.06819867236085517,-588178532.8554603,0.02636938851029289
-22974.898602997662,-0.03942470095786569,0.17799969755303707,-590667047.1245905,0.0269963954121278
-20764.58505819351,-0.12592088915774455,0.13784577273249907,-593024429.6567225,0.027642948755759632
-18747.4629117314,0.13134995528939503,0.1389868651457353,-595257120.3567307,0.02830999607071565
-16908.55203715213,-0.03942151596385473,-0.1919061451647321,-597370203.2514875,0.02899820207022807
-15233.119198423043,-0.12277288078352107,0.15883066520087663,-599369535.665455,0.02970857973557581
-13708.937459355933,-0.20424546368946853,-0.02479839259516712,-601259003.6155728,0.030441530069300806
-12323.317910847563,0.06558563368702379,-0.20045213030099424,-603043982.926554,0.031198059678876938
-11064.87754907416,0.05890660140642447,0.20806894815101895,-604729192.3212593,0.03197904140416267
-9923.047711094856,-0.03671723860160964,-0.2187061058604838,-606319212.1601259,0.03278539607122825
-8887.74639435149,-0.18005648112667294,0.1390185486258105,-607818899.6138182,0.03361834004458619
-7950.793362087679,-0.1412141709815369,0.1858151401252533,-609231227.4573898,0.03447812943651311
-7103.624165057375,-0.23591996170043444,0.04123225525960105,-610560511.4520322,0.035365809926802765
-6338.167038042329,-0.20460547391234726,0.13625311204153276,-611811204.2023574,0.036282721668745424
-5647.349940500115,0.05918369589037425,0.2453338443274505,-612987000.5781615,0.03722986294640464
-5024.68907431773,-0.019077021749942084,0.2584513885217436,-614091377.5168778,0.03820817022859655
-4464.110441472568,-0.013990303270161274,-0.26581290874171165,-615127848.493614,0.0392187595808943
-4011.1481614638424,-0.25540886718881306,0.09548544924308845,-615999311.8499817,0.04014991540165517
-3558.185881455117,0.08691276880065542,-0.2662782169753113,-616906103.3937079,0.04121208733748521
-3189.5388269623686,-0.2704404704169789,0.09616934064595323,-617674314.8137538,0.04219905151624051
-2820.8917724693147,0.22750935211066542,-0.18775182614833144,-618474141.9598242,0.04332715813183596
-2522.6226796879428,0.0611442059674241,-0.29611394838128163,-619148151.1330901,0.04437126468488675
-2224.353586906266,-0.310692121124591,0.009959887660859909,-619850270.1476309,0.04556686498950869
-1983.7584906065435,0.12971203290336414,-0.2911513953256088,-620440476.894243,0.04667219986936394
-1743.1633943071263,0.276107851376797,0.1767450371933646,-621055659.0009981,0.04794049074059114
-1550.324554277039,0.30103320075478357,-0.1498088129773386,-621569785.8865758,0.049107864437688185
-1377.1194424166772,-0.2888910930066716,-0.18844283784367097,-622050240.1113329,0.05030365612119488
-1221.4122796269562,-0.17287700980871476,0.3087624788529861,-622499706.129526,0.05153043500536322
-1081.9861990011343,0.31714755230013325,-0.17674582068641065,-622918597.2166606,0.05278480678894017
-957.0296127675472,0.16623832378367132,0.3334211201097393,-623309387.8221769,0.05406918007600837
-845.2082006358049,-0.006925846585641311,-0.3822859568026625,-623673476.8593296,0.05538309886948356
-745.3791988273865,0.35667466072469917,0.16363175003626337,-624011922.6502072,0.05672467840556727
-656.4811714617406,0.40267566879849775,-0.008547193075865047,-624325754.7337902,0.058091399563203104
-577.3446119516989,-0.34228520836296716,0.23182907104597333,-624616668.7761399,0.05948348367832761
-507.0153435498982,-0.28021704395226205,0.318649560243609,-624885890.4411042,0.06089921489043368
-444.6099523390118,0.04296651005031,-0.433426477818889,-625134644.2615409,0.06233677618272102
-389.32621370138077,0.4084847852783421,-0.1816511767388788,-625364094.671139,0.06379394490556625
-340.4313053291081,-0.4518899308972708,-0.07954319419107708,-625575370.5063282,0.0652682013508459
-297.25692139526194,-0.3254196458172867,-0.34035947452830695,-625769565.543169,0.06675673420280946
-259.1925909190153,-0.3345241970392069,0.34870624460013044,-625947748.7762638,0.06825654142839833
-225.69292812295762,0.34362927870201426,0.35740481071093155,-626110908.996895,0.06976395803766001
-196.25398703564366,0.4052577134226139,0.30735558126167817,-626260046.5221648,0.07127545862485048
-170.42294435518633,-0.14666606627785686,0.5006420469299439,-626396110.1019409,0.07278717554140482
-147.7918460229952,0.14035722806547085,0.5162142990626585,-626520007.6776491,0.07429501100109329
-127.99435638516809,-0.5247906244846459,0.1592661474033911,-626632603.8951496,0.07579463344155835
-110.70016500540527,-0.08415868076233556,-0.5557396897759377,-626734732.499547,0.07728168729067447
